# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
1.0803222656e+01 1.9351644317e+00 4.3780437404e-01 1.4973600576e+00
1.0864257812e+01 2.1209488076e+00 4.8849773987e-01 1.6324510678e+00
1.0925292969e+01 2.3023655003e+00 5.3997602295e-01 1.7623894774e+00
1.0986328125e+01 2.4551189630e+00 5.8787153029e-01 1.8672474328e+00
1.1047363281e+01 2.5608665441e+00 6.2846148618e-01 1.9324050579e+00
1.1108398438e+01 2.6199053475e+00 6.6087340307e-01 1.9590319444e+00
1.1169433594e+01 2.6472947754e+00 6.8658403167e-01 1.9607107437e+00
1.1230468750e+01 2.6527355219e+00 7.0581227326e-01 1.9469232487e+00
1.1291503906e+01 2.6263154683e+00 7.1478723983e-01 1.9115282285e+00
1.1352539062e+01 2.5486105812e+00 7.0808048681e-01 1.8405300943e+00
1.1413574219e+01 2.4146999545e+00 6.8426977471e-01 1.7304301798e+00
1.1474609375e+01 2.2437718408e+00 6.4834401039e-01 1.5954278304e+00
1.1535644531e+01 2.0635532893e+00 6.0771365595e-01 1.4558396333e+00
1.1596679688e+01 1.8892626967e+00 5.6654472819e-01 1.3227179685e+00
1.1657714844e+01 1.7200406493e+00 5.2467839737e-01 1.1953622520e+00
1.1718750000e+01 1.5507118003e+00 4.8082756086e-01 1.0698842394e+00
1.1779785156e+01 1.3812594395e+00 4.3517192176e-01 9.4608751774e-01
1.1840820312e+01 1.2156551623e+00 3.8892278255e-01 8.2673237972e-01
1.1901855469e+01 1.0555866164e+00 3.4247206837e-01 7.1311454804e-01
1.1962890625e+01 8.9809190732e-01 2.9479761376e-01 6.0329429356e-01
1.2023925781e+01 7.4010271071e-01 2.4503600755e-01 4.9506670316e-01
1.2084960938e+01 5.8503294107e-01 1.9469172658e-01 3.9034121449e-01
1.2145996094e+01 4.4383116857e-01 1.4795275620e-01 2.9587841236e-01
1.2207031250e+01 3.2836419231e-01 1.0933786776e-01 2.1902632455e-01
1.2268066406e+01 2.4369170636e-01 8.0938060116e-02 1.6275364624e-01
1.2329101562e+01 1.8647396873e-01 6.1815351744e-02 1.2465861699e-01
1.2390136719e+01 1.4911052269e-01 4.9446122444e-02 9.9664400249e-02
1.2451171875e+01 1.2434670740e-01 4.1357128723e-02 8.2989578676e-02
1.2512207031e+01 1.0717663973e-01 3.5824990093e-02 7.1351649635e-02
1.2573242188e+01 9.4614438830e-02 3.1823331619e-02 6.2791107211e-02
1.2634277344e+01 8.4935560812e-02 2.8766614489e-02 5.6168946323e-02
1.2695312500e+01 7.7128790087e-02 2.6316639177e-02 5.0812150910e-02
1.2756347656e+01 7.0613790354e-02 2.4282897239e-02 4.6330893115e-02
1.2817382812e+01 6.5086723126e-02 2.2567928581e-02 4.2518794545e-02
1.2878417969e+01 6.0382167463e-02 2.1116684294e-02 3.9265483169e-02
1.2939453125e+01 5.6364530117e-02 1.9879344800e-02 3.6485185316e-02
1.3000488281e+01 5.2885689888e-02 1.8803676907e-02 3.4082012982e-02
1.3061523438e+01 4.9795503101e-02 1.7844472501e-02 3.1951030600e-02
