# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.0253906250e+01 8.5449424416e-01 1.5736790944e-01 6.9712633472e-01
1.0314941406e+01 9.1133523224e-01 1.7126037006e-01 7.4007486218e-01
1.0375976562e+01 9.8260144632e-01 1.8879724749e-01 7.9380419883e-01
1.0437011719e+01 1.0743077856e+00 2.0817055755e-01 8.6613722802e-01
1.0498046875e+01 1.1401963181e+00 2.2627854247e-01 9.1391777565e-01
1.0559082031e+01 1.2218928009e+00 2.4610072004e-01 9.7579208084e-01
1.0620117188e+01 1.3317313830e+00 2.7018336678e-01 1.0615480162e+00
1.0681152344e+01 1.4657697152e+00 3.0546415228e-01 1.1603055629e+00
1.0742187500e+01 1.6147252885e+00 3.4949590295e-01 1.2652293856e+00
1.0803222656e+01 1.8151944865e+00 4.0571775761e-01 1.4094767289e+00
1.0864257812e+01 2.0536705594e+00 4.6120937542e-01 1.5924611840e+00
1.0925292969e+01 2.4210832527e+00 5.4006741874e-01 1.8810158340e+00
1.0986328125e+01 2.6687049225e+00 5.9659570481e-01 2.0721092176e+00
1.1047363281e+01 2.6311838416e+00 6.1064773590e-01 2.0205361057e+00
1.1108398438e+01 2.5198718438e+00 6.1889076601e-01 1.9009810778e+00
1.1169433594e+01 2.6331748774e+00 6.8138906517e-01 1.9517858122e+00
1.1230468750e+01 2.8507849732e+00 7.6195150545e-01 2.0888334678e+00
1.1291503906e+01 3.0561747962e+00 8.3175695788e-01 2.2244178383e+00
1.1352539062e+01 3.0054705887e+00 8.3106627213e-01 2.1744043165e+00
1.1413574219e+01 2.8034088540e+00 7.9178994343e-01 2.0116189105e+00
1.1474609375e+01 2.5169871154e+00 7.2577273972e-01 1.7912143757e+00
1.1535644531e+01 2.2869158225e+00 6.7320766880e-01 1.6137081537e+00
1.1596679688e+01 2.1260335572e+00 6.3821814246e-01 1.4878154147e+00
1.1657714844e+01 2.0188007154e+00 6.1704341625e-01 1.4017572991e+00
