# freq_THz  G_total  G_Ga  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.9836425781e+01 9.2268892308e-04 5.7861600506e-04 3.4407291801e-04
1.9897460938e+01 9.0527350649e-04 5.6876952281e-04 3.3650398368e-04
1.9958496094e+01 8.9814915070e-04 5.6514538535e-04 3.3300376535e-04
2.0019531250e+01 8.8384165360e-04 5.5476674105e-04 3.2907491255e-04
2.0080566406e+01 8.7303651925e-04 5.4894474727e-04 3.2409177198e-04
2.0141601562e+01 8.5075745553e-04 5.3552998695e-04 3.1522746857e-04
2.0202636719e+01 8.3801435096e-04 5.2547358132e-04 3.1254076963e-04
2.0263671875e+01 8.2333963160e-04 5.1343379493e-04 3.0990583667e-04
2.0324707031e+01 8.1267232138e-04 5.0755651052e-04 3.0511581086e-04
2.0385742188e+01 8.0772025850e-04 5.0500485897e-04 3.0271539954e-04
2.0446777344e+01 7.9113653354e-04 4.9155019269e-04 2.9958634084e-04
2.0507812500e+01 7.6840511878e-04 4.7507968253e-04 2.9332543625e-04
