# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.3549804688e+01 3.1780081519e-02 1.1938871767e-02 1.9841209752e-02
1.3610839844e+01 3.0568363617e-02 1.1557626037e-02 1.9010737580e-02
1.3671875000e+01 2.9533990013e-02 1.1239573279e-02 1.8294416734e-02
1.3732910156e+01 2.8153743389e-02 1.0823272398e-02 1.7330470991e-02
1.3793945312e+01 2.7097626909e-02 1.0456905416e-02 1.6640721493e-02
1.3854980469e+01 2.5907634087e-02 1.0076934047e-02 1.5830700040e-02
1.3916015625e+01 2.5018973268e-02 9.7664219804e-03 1.5252551288e-02
1.3977050781e+01 2.4161297356e-02 9.4951905441e-03 1.4666106812e-02
1.4038085938e+01 2.3249384489e-02 9.2070528964e-03 1.4042331593e-02
1.4099121094e+01 2.2447871884e-02 8.9381898931e-03 1.3509681990e-02
1.4160156250e+01 2.1689342379e-02 8.7091182849e-03 1.2980224094e-02
1.4221191406e+01 2.0932644583e-02 8.4689582169e-03 1.2463686366e-02
1.4282226562e+01 1.9947076417e-02 8.1023258651e-03 1.1844750552e-02
1.4343261719e+01 1.9332073004e-02 7.9304906732e-03 1.1401582331e-02
1.4404296875e+01 1.8972180172e-02 7.8592630304e-03 1.1112917142e-02
1.4465332031e+01 1.8266946419e-02 7.5730134823e-03 1.0693932937e-02
1.4526367188e+01 1.7765648179e-02 7.3960071843e-03 1.0369640994e-02
1.4587402344e+01 1.7382283170e-02 7.2778369416e-03 1.0104446229e-02
1.4648437500e+01 1.6976722501e-02 7.1302139914e-03 9.8465085099e-03
1.4709472656e+01 1.6609347939e-02 6.9966352238e-03 9.6127127147e-03
1.4770507812e+01 1.6116416634e-02 6.7853179164e-03 9.3310987181e-03
1.4831542969e+01 1.5730421622e-02 6.6498635700e-03 9.0805580516e-03
1.4892578125e+01 1.5514153112e-02 6.5657464631e-03 8.9484066491e-03
1.4953613281e+01 1.5214742106e-02 6.4275422873e-03 8.7871998188e-03
1.5014648438e+01 1.4921380099e-02 6.3409632875e-03 8.5804168117e-03
1.5075683594e+01 1.4802919619e-02 6.2948409569e-03 8.5080786624e-03
1.5136718750e+01 1.4535104373e-02 6.1981580168e-03 8.3369463566e-03
1.5197753906e+01 1.4115612799e-02 6.0201660283e-03 8.0954467710e-03
1.5258789062e+01 1.3916439700e-02 5.9644897022e-03 7.9519499977e-03
1.5319824219e+01 1.3708860965e-02 5.8877307874e-03 7.8211301779e-03
1.5380859375e+01 1.3299426926e-02 5.7065227318e-03 7.5929041943e-03
1.5441894531e+01 1.3040594986e-02 5.6099526767e-03 7.4306423097e-03
1.5502929688e+01 1.2842289911e-02 5.5784526798e-03 7.2638372309e-03
1.5563964844e+01 1.2421896995e-02 5.4061339265e-03 7.0157630686e-03
1.5625000000e+01 1.2118987107e-02 5.2665771289e-03 6.8524099777e-03
1.5686035156e+01 1.1725409945e-02 5.1039805259e-03 6.6214294193e-03
1.5747070312e+01 1.1411164874e-02 4.9954681283e-03 6.4156967455e-03
1.5808105469e+01 1.1050768073e-02 4.8473449289e-03 6.2034231440e-03
1.5869140625e+01 1.0769711483e-02 4.7316472058e-03 6.0380642776e-03
