# freq_THz  G_total  G_In  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
8.3007812500e+00 5.6313350813e-02 3.3318786545e-02 2.2994564268e-02
8.3618164062e+00 5.4509482531e-02 3.2502442563e-02 2.2007039967e-02
8.4228515625e+00 5.2900331431e-02 3.1808963926e-02 2.1091367505e-02
8.4838867188e+00 5.1083781815e-02 3.1002871975e-02 2.0080909841e-02
8.5449218750e+00 4.9642730345e-02 3.0303938145e-02 1.9338792199e-02
8.6059570312e+00 4.7671715969e-02 2.9096826569e-02 1.8574889399e-02
8.6669921875e+00 4.5286129513e-02 2.7740542080e-02 1.7545587433e-02
8.7280273438e+00 4.3384374678e-02 2.6689631401e-02 1.6694743277e-02
8.7890625000e+00 4.1324196642e-02 2.5527254269e-02 1.5796942373e-02
8.8500976562e+00 3.9605888511e-02 2.4611130129e-02 1.4994758382e-02
8.9111328125e+00 3.7449630469e-02 2.3227490660e-02 1.4222139809e-02
8.9721679688e+00 3.5489986145e-02 2.2092483928e-02 1.3397502217e-02
9.0332031250e+00 3.3750348148e-02 2.1102899772e-02 1.2647448376e-02
9.0942382812e+00 3.2262058087e-02 2.0256481636e-02 1.2005576451e-02
9.1552734375e+00 3.0610032811e-02 1.9279657883e-02 1.1330374928e-02
9.2163085938e+00 2.9604732282e-02 1.8695619075e-02 1.0909113206e-02
9.2773437500e+00 2.8217743608e-02 1.7774491562e-02 1.0443252046e-02
9.3383789062e+00 2.7039807714e-02 1.7055725308e-02 9.9840824063e-03
9.3994140625e+00 2.6300468762e-02 1.6622988912e-02 9.6774798501e-03
9.4604492188e+00 2.5470039533e-02 1.6072328768e-02 9.3977107645e-03
9.5214843750e+00 2.4633342734e-02 1.5518249002e-02 9.1150937327e-03
9.5825195312e+00 2.4231890550e-02 1.5259841166e-02 8.9720493834e-03
9.6435546875e+00 2.3700373773e-02 1.4910023453e-02 8.7903503199e-03
9.7045898438e+00 2.3254452494e-02 1.4677912335e-02 8.5765401589e-03
9.7656250000e+00 2.2593800408e-02 1.4195161554e-02 8.3986388532e-03
9.8266601562e+00 2.1889888516e-02 1.3748510785e-02 8.1413777309e-03
9.8876953125e+00 2.1270228636e-02 1.3386716289e-02 7.8835123471e-03
9.9487304688e+00 2.0670828136e-02 1.2977056865e-02 7.6937712709e-03
1.0009765625e+01 2.0142519231e-02 1.2645010072e-02 7.4975091597e-03
1.0070800781e+01 1.9824541857e-02 1.2405121911e-02 7.4194199457e-03
1.0131835938e+01 1.9484667607e-02 1.2080270432e-02 7.4043971749e-03
1.0192871094e+01 1.9300821049e-02 1.1889103389e-02 7.4117176602e-03
1.0253906250e+01 1.8897476388e-02 1.1537781432e-02 7.3596949560e-03
1.0314941406e+01 1.8548864429e-02 1.1124249338e-02 7.4246150903e-03
1.0375976562e+01 1.8254285349e-02 1.0845688339e-02 7.4085970106e-03
1.0437011719e+01 1.8263942519e-02 1.0723149186e-02 7.5407933328e-03
1.0498046875e+01 1.8507449181e-02 1.0742969541e-02 7.7644796401e-03
1.0559082031e+01 1.8843595348e-02 1.0809944693e-02 8.0336506547e-03
1.0620117188e+01 1.9072484745e-02 1.0762934016e-02 8.3095507296e-03
1.0681152344e+01 1.9465766872e-02 1.0778357598e-02 8.6874092734e-03
1.0742187500e+01 1.9844692159e-02 1.0876958966e-02 8.9677331934e-03
1.0803222656e+01 2.0202872264e-02 1.0922887157e-02 9.2799851068e-03
1.0864257812e+01 2.0527770851e-02 1.0963765289e-02 9.5640055613e-03
1.0925292969e+01 2.0690165412e-02 1.0914655329e-02 9.7755100829e-03
1.0986328125e+01 2.0689102727e-02 1.0770015938e-02 9.9190867883e-03
1.1047363281e+01 2.0869652242e-02 1.0810305529e-02 1.0059346713e-02
1.1108398438e+01 2.0810236829e-02 1.0700855891e-02 1.0109380938e-02
1.1169433594e+01 2.0534044838e-02 1.0474623802e-02 1.0059421036e-02
1.1230468750e+01 2.0017414307e-02 1.0178653983e-02 9.8387603247e-03
1.1291503906e+01 1.9331236065e-02 9.8283681100e-03 9.5028679550e-03
1.1352539062e+01 1.8560130951e-02 9.4354951430e-03 9.1246358080e-03
1.1413574219e+01 1.7581927634e-02 8.9784562232e-03 8.6034714104e-03
1.1474609375e+01 1.6746985391e-02 8.6247755539e-03 8.1222098375e-03
1.1535644531e+01 1.5914959598e-02 8.2612990705e-03 7.6536605280e-03
1.1596679688e+01 1.5201500671e-02 7.9425602805e-03 7.2589403900e-03
1.1657714844e+01 1.4459730068e-02 7.6139958257e-03 6.8457342424e-03
1.1718750000e+01 1.3841763486e-02 7.3523663921e-03 6.4893970938e-03
1.1779785156e+01 1.3198516485e-02 7.0497422080e-03 6.1487742770e-03
1.1840820312e+01 1.2767363711e-02 6.8466714734e-03 5.9206922372e-03
1.1901855469e+01 1.2333785003e-02 6.6089319283e-03 5.7248530747e-03
1.1962890625e+01 1.1964196838e-02 6.4084557719e-03 5.5557410666e-03
1.2023925781e+01 1.1784936064e-02 6.3359211833e-03 5.4490148805e-03
1.2084960938e+01 1.1490887610e-02 6.1638548386e-03 5.3270327714e-03
1.2145996094e+01 1.1282892109e-02 6.0203847697e-03 5.2625073390e-03
1.2207031250e+01 1.1103281116e-02 5.8933109189e-03 5.2099701969e-03
1.2268066406e+01 1.0951721002e-02 5.7571165916e-03 5.1946044104e-03
1.2329101562e+01 1.0859986992e-02 5.6596561666e-03 5.2003308258e-03
1.2390136719e+01 1.0740504061e-02 5.5518376515e-03 5.1886664091e-03
1.2451171875e+01 1.0548625197e-02 5.4338853924e-03 5.1147398045e-03
1.2512207031e+01 1.0303386784e-02 5.2661106738e-03 5.0372761100e-03
1.2573242188e+01 1.0014968630e-02 5.0951577585e-03 4.9198108718e-03
1.2634277344e+01 9.6723531712e-03 4.9231794707e-03 4.7491737005e-03
1.2695312500e+01 9.2528582321e-03 4.7113231483e-03 4.5415350838e-03
1.2756347656e+01 8.7673708816e-03 4.4663605384e-03 4.3010103431e-03
1.2817382812e+01 8.2192891403e-03 4.2039103352e-03 4.0153788051e-03
1.2878417969e+01 7.6790389869e-03 3.9763986554e-03 3.7026403316e-03
1.2939453125e+01 7.1327512660e-03 3.7486781870e-03 3.3840730790e-03
1.3000488281e+01 6.5398984215e-03 3.4748954492e-03 3.0650029724e-03
1.3061523438e+01 6.0104185209e-03 3.2378499814e-03 2.7725685395e-03
1.3122558594e+01 5.4960916707e-03 2.9997640786e-03 2.4963275920e-03
1.3183593750e+01 5.0498104218e-03 2.8094818283e-03 2.2403285935e-03
1.3244628906e+01 4.6817790543e-03 2.6590122542e-03 2.0227668001e-03
1.3305664062e+01 4.3502459926e-03 2.5127194794e-03 1.8375265132e-03
1.3366699219e+01 4.0428129019e-03 2.3677609944e-03 1.6750519075e-03
1.3427734375e+01 3.7738511656e-03 2.2407915344e-03 1.5330596312e-03
1.3488769531e+01 3.5578243359e-03 2.1462893117e-03 1.4115350241e-03
1.3549804688e+01 3.3770153590e-03 2.0657888478e-03 1.3112265112e-03
1.3610839844e+01 3.1851011020e-03 1.9669291820e-03 1.2181719200e-03
1.3671875000e+01 3.0024894616e-03 1.8768229282e-03 1.1256665335e-03
1.3732910156e+01 2.8946358684e-03 1.8281487828e-03 1.0664870855e-03
1.3793945312e+01 2.7751404282e-03 1.7608316216e-03 1.0143088066e-03
1.3854980469e+01 2.6323239235e-03 1.6798774353e-03 9.5244648828e-04
1.3916015625e+01 2.5063386061e-03 1.6099862719e-03 8.9635233423e-04
1.3977050781e+01 2.3886782576e-03 1.5400476123e-03 8.4863064525e-04
1.4038085938e+01 2.3199629300e-03 1.5038452845e-03 8.1611764552e-04
1.4099121094e+01 2.2345388752e-03 1.4492787298e-03 7.8526014538e-04
1.4160156250e+01 2.1340282244e-03 1.3905063323e-03 7.4352189212e-04
1.4221191406e+01 2.0699471445e-03 1.3570963311e-03 7.1285081338e-04
1.4282226562e+01 1.9984830932e-03 1.3118108133e-03 6.8667227987e-04
1.4343261719e+01 1.9190111325e-03 1.2612040914e-03 6.5780704107e-04
1.4404296875e+01 1.8597465480e-03 1.2237318022e-03 6.3601474579e-04
1.4465332031e+01 1.8046233995e-03 1.1936985830e-03 6.1092481645e-04
1.4526367188e+01 1.7483846235e-03 1.1554846518e-03 5.9289997172e-04
1.4587402344e+01 1.6743595212e-03 1.1015833590e-03 5.7277616225e-04
1.4648437500e+01 1.6199339192e-03 1.0677090900e-03 5.5222482926e-04
1.4709472656e+01 1.5646925675e-03 1.0296180812e-03 5.3507448626e-04
1.4770507812e+01 1.5363212046e-03 1.0139043516e-03 5.2241685293e-04
1.4831542969e+01 1.4788631135e-03 9.7635290371e-04 5.0251020978e-04
1.4892578125e+01 1.4323467837e-03 9.4292996637e-04 4.8941681730e-04
1.4953613281e+01 1.4053098811e-03 9.2462592338e-04 4.8068395767e-04
1.5014648438e+01 1.3630239539e-03 8.9926490304e-04 4.6375905086e-04
1.5075683594e+01 1.3265350165e-03 8.7492580239e-04 4.5160921415e-04
1.5136718750e+01 1.2856181282e-03 8.4581999350e-04 4.3979813466e-04
1.5197753906e+01 1.2518867379e-03 8.2182161901e-04 4.3006511886e-04
1.5258789062e+01 1.2158791824e-03 7.9837486498e-04 4.1750431737e-04
1.5319824219e+01 1.1705315387e-03 7.6562201434e-04 4.0490952435e-04
1.5380859375e+01 1.1554290789e-03 7.5830881226e-04 3.9712026666e-04
1.5441894531e+01 1.1386605492e-03 7.4417382337e-04 3.9448672587e-04
