# frequency_THz total_states_per_THz_per_atom In_contribution Se_contribution
3.120000000000003215e+00 2.118051005686314436e-01 1.306196147577931566e-01 8.118548581083817606e-02
3.140000000000003233e+00 2.261297370747192004e-01 1.415218333833189179e-01 8.460790369140017142e-02
3.160000000000003251e+00 2.431126975784770883e-01 1.542678154363092968e-01 8.884488214216793023e-02
3.180000000000003268e+00 2.626775603457646158e-01 1.688366928951554324e-01 9.384086745060932211e-02
3.200000000000003286e+00 2.844889071777679801e-01 1.850241702107158215e-01 9.946473696705206147e-02
3.220000000000003304e+00 3.078778555136878481e-01 2.023910229545938799e-01 1.054868325590940514e-01
3.240000000000003322e+00 3.318071039828668356e-01 2.202372081738634135e-01 1.115698958090033943e-01
3.260000000000003340e+00 3.548934832560152741e-01 2.376143700088536315e-01 1.172791132471614206e-01
3.280000000000003357e+00 3.754972067760993237e-01 2.533838104275164538e-01 1.221133963485830365e-01
3.300000000000003375e+00 3.918735777521736297e-01 2.663180280099178843e-01 1.255555497422563560e-01
3.320000000000003393e+00 4.023681362802627448e-01 2.752338769217052006e-01 1.271342593585575997e-01
3.340000000000003411e+00 4.056244151611096971e-01 2.791371131995951660e-01 1.264873019615142535e-01
3.360000000000003428e+00 4.007683140833285251e-01 2.773540754452328283e-01 1.234142386380953221e-01
3.380000000000003446e+00 3.875362744049365982e-01 2.696276992806080908e-01 1.179085751243285768e-01
3.400000000000003464e+00 3.663249883885544844e-01 2.561614994020888769e-01 1.101634889864651079e-01
3.420000000000003482e+00 3.381552250492394496e-01 2.376046880462158173e-01 1.005505370030236045e-01
3.440000000000003499e+00 3.045575850692209263e-01 2.149817770484803714e-01 8.957580802074066595e-02
3.460000000000003517e+00 2.674002710140948591e-01 1.895786789350596968e-01 7.782159207903539822e-02
3.480000000000003535e+00 2.286863749641651067e-01 1.628031565016913873e-01 6.588321846247360836e-02
3.500000000000003553e+00 1.903503399159174325e-01 1.360400058933969869e-01 5.431033402252058440e-02
3.520000000000003126e+00 1.540807347215857326e-01 1.105206999948587787e-01 4.356003472672691224e-02
3.540000000000003588e+00 1.211903002730949919e-01 8.722374479878038100e-02 3.396655547431459699e-02
3.560000000000004050e+00 9.254550999599674144e-02 6.681627554453892226e-02 2.572923445145779489e-02
3.580000000000003624e+00 6.855793533240879534e-02 4.964028869153180867e-02 1.891764664087688952e-02
3.600000000000003197e+00 4.923007279070408526e-02 3.573957353844743612e-02 1.349049925225668037e-02
3.620000000000003659e+00 3.424067052333697181e-02 2.491728994272962919e-02 9.323380580607366908e-03
3.640000000000004121e+00 2.305041853635505025e-02 1.681048659617579918e-02 6.239931940179252803e-03
3.660000000000003695e+00 1.500879598817268096e-02 1.096731439469865801e-02 4.041481593474021208e-03
3.680000000000003268e+00 9.446499391116575453e-03 6.915054355317196144e-03 2.531445035799376707e-03
3.700000000000003730e+00 5.743863724374166646e-03 4.211373397390273492e-03 1.532490326983891420e-03
3.720000000000004192e+00 3.372238991993035083e-03 2.476080785152893083e-03 8.961582068401389642e-04
3.740000000000003766e+00 1.910769652677217706e-03 1.404819392585001693e-03 5.059502600922164469e-04
3.760000000000003340e+00 1.044454920150050554e-03 7.687991508636444083e-04 2.756557692864062539e-04
3.780000000000003801e+00 5.505508299478459279e-04 4.056794108404372895e-04 1.448714191074088552e-04
3.800000000000004263e+00 2.797591150766590064e-04 2.063425900793848609e-04 7.341652499727379321e-05
3.820000000000003837e+00 1.369995101007787900e-04 1.011356667952611229e-04 3.586384330551766023e-05
3.840000000000003411e+00 6.463757000133017771e-05 4.775479621642545743e-05 1.688277378490479481e-05
3.860000000000003872e+00 2.937503830669736880e-05 2.171835164054782723e-05 7.656686666149531401e-06
3.880000000000004334e+00 1.285602982196595372e-05 9.511410394516065319e-06 3.344619427449896449e-06
3.900000000000003908e+00 5.417363661167006314e-06 4.010438275213273367e-06 1.406925385953735276e-06
3.920000000000003482e+00 2.197598563471026035e-06 1.627784025422536745e-06 5.698145380484914077e-07
3.940000000000003944e+00 8.580693418430773548e-07 6.359111370317427480e-07 2.221582048113354538e-07
3.960000000000004405e+00 3.224420078214498477e-07 2.390750247223844219e-07 8.336698309906545224e-08
3.980000000000003979e+00 1.165969566687542511e-07 8.648911090344087121e-08 3.010784576531336668e-08
4.000000000000003553e+00 4.057213209193505357e-08 3.010644251085015671e-08 1.046568958108489025e-08
4.020000000000004015e+00 1.360109895221797374e-08 1.009039109547204670e-08 3.510707856745927045e-09
4.040000000000004476e+00 4.456770675851434287e-09 3.284199491848172015e-09 1.172571184003258963e-09
4.060000000000004050e+00 1.661713711272204224e-09 1.141006735796616708e-09 5.207069754755875153e-10
4.080000000000003624e+00 1.481662370084403070e-09 7.729039323278936803e-10 7.087584377565083556e-10
4.100000000000004086e+00 3.751742895079647861e-09 1.681322793210091462e-09 2.070420101869558468e-09
4.120000000000004547e+00 1.182111869019158203e-08 5.196377061521956837e-09 6.624741628669630159e-09
4.140000000000004121e+00 3.675689684269564502e-08 1.613038697794459262e-08 2.062650986475105903e-08
4.160000000000003695e+00 1.101340936090900288e-07 4.832516867926784634e-08 6.180892492982214278e-08
4.180000000000004157e+00 3.173430713204972868e-07 1.392474100447151682e-07 1.780956612757820128e-07
4.200000000000004619e+00 8.792363364762259314e-07 3.858148352205328111e-07 4.934215012556933850e-07
4.220000000000004192e+00 2.342444510476155023e-06 1.027929204848293747e-06 1.314515305627861276e-06
4.240000000000003766e+00 6.001322297678456796e-06 2.633711214702635959e-06 3.367611082975826767e-06
4.260000000000004228e+00 1.478665036340064475e-05 6.489739589541327137e-06 8.296910773859338784e-06
4.280000000000004690e+00 3.504078810451609891e-05 1.538082484233773775e-05 1.965996326217838488e-05
4.300000000000004263e+00 7.987315980448801451e-05 3.506477899138481366e-05 4.480838081310314664e-05
4.320000000000003837e+00 1.751457450291958931e-04 7.690526976415268997e-05 9.824047526504317606e-05
4.340000000000004299e+00 3.695111744889785976e-04 1.622929639891835868e-04 2.072182104997952277e-04
4.360000000000004761e+00 7.501589132438399353e-04 3.295948989495913091e-04 4.205640142942483010e-04
4.380000000000004334e+00 1.465746392787794453e-03 6.443090387498175099e-04 8.214373540379774855e-04
4.400000000000003908e+00 2.757043848357803965e-03 1.212714319866655234e-03 1.544329528491148948e-03
4.420000000000004370e+00 4.993775664784735717e-03 2.198460763556602665e-03 2.795314901228136521e-03
4.440000000000004832e+00 8.712920435506940273e-03 3.840215680873818385e-03 4.872704754633124490e-03
4.460000000000004405e+00 1.464979604531450180e-02 6.466878998705061915e-03 8.182917046609431214e-03
4.480000000000003979e+00 2.374981401231491054e-02 1.050552830038228511e-02 1.324428571193260809e-02
4.500000000000004441e+00 3.714773107042507877e-02 1.647694992339198555e-02 2.067078114703312097e-02
4.520000000000004903e+00 5.610458804334446381e-02 2.497517135587306453e-02 3.112941668747138541e-02
4.540000000000004476e+00 8.190144062773660472e-02 3.663119760357774757e-02 4.527024302415888490e-02
4.560000000000004050e+00 1.157024627360179053e-01 5.206655822867245487e-02 6.363590450734543658e-02
4.580000000000004512e+00 1.584141678763442695e-01 7.184742198547583447e-02 8.656674589086846283e-02
4.600000000000004974e+00 2.105760862681769763e-01 9.645212105295283833e-02 1.141239652152242073e-01
4.620000000000004547e+00 2.723147757362056609e-01 1.262612845611663648e-01 1.460534911750391851e-01
4.640000000000004121e+00 3.433742613921205722e-01 1.615695222428444877e-01 1.818047391492759735e-01
4.660000000000004583e+00 4.232050618617214655e-01 2.026030409258114118e-01 2.206020209359100259e-01
4.680000000000005045e+00 5.110615029206693194e-01 2.495145083284978638e-01 2.615469945921712336e-01
4.700000000000004619e+00 6.060384333797198542e-01 3.023225521012733452e-01 3.037158812784469530e-01
4.720000000000004192e+00 7.069875802478492455e-01 3.607746728590300322e-01 3.462129073888192687e-01
