# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.5563964844e+01 1.1040473682e-02 4.8475915579e-03 6.1928821243e-03
1.5625000000e+01 1.0756434412e-02 4.7422085394e-03 6.0142258728e-03
1.5686035156e+01 1.0544938989e-02 4.6947025642e-03 5.8502364246e-03
1.5747070312e+01 1.0237972801e-02 4.5785329535e-03 5.6594398477e-03
1.5808105469e+01 9.8821485434e-03 4.4134037058e-03 5.4687448377e-03
1.5869140625e+01 9.6168444033e-03 4.2982825774e-03 5.3185618258e-03
1.5930175781e+01 9.2715679780e-03 4.1663192595e-03 5.1052487185e-03
1.5991210938e+01 9.0773368980e-03 4.1254489069e-03 4.9518879911e-03
1.6052246094e+01 8.8555759780e-03 4.0456664762e-03 4.8099095018e-03
1.6113281250e+01 8.5630590099e-03 3.9158441446e-03 4.6472148653e-03
1.6174316406e+01 8.2519689046e-03 3.7794815460e-03 4.4724873586e-03
1.6235351562e+01 7.9701014357e-03 3.6632404544e-03 4.3068609813e-03
1.6296386719e+01 7.6346068846e-03 3.4936326471e-03 4.1409742376e-03
1.6357421875e+01 7.3651523190e-03 3.3951427016e-03 3.9700096174e-03
1.6418457031e+01 7.2504777064e-03 3.3692299774e-03 3.8812477289e-03
1.6479492188e+01 7.0017780328e-03 3.2555646280e-03 3.7462134048e-03
1.6540527344e+01 6.7528667334e-03 3.1406177609e-03 3.6122489725e-03
1.6601562500e+01 6.5700294883e-03 3.0683621243e-03 3.5016673639e-03
1.6662597656e+01 6.3672950136e-03 2.9659826435e-03 3.4013123700e-03
1.6723632812e+01 6.2788174482e-03 2.9294091469e-03 3.3494083013e-03
1.6784667969e+01 6.1612432234e-03 2.8740665289e-03 3.2871766945e-03
1.6845703125e+01 6.0738000160e-03 2.8198976928e-03 3.2539023232e-03
1.6906738281e+01 6.0025307834e-03 2.7606423031e-03 3.2418884803e-03
1.6967773438e+01 5.9605934227e-03 2.7106004607e-03 3.2499929619e-03
1.7028808594e+01 6.0001445057e-03 2.7031288200e-03 3.2970156857e-03
1.7089843750e+01 6.0753003199e-03 2.7019703156e-03 3.3733300043e-03
1.7150878906e+01 6.2239618428e-03 2.7187366242e-03 3.5052252186e-03
1.7211914062e+01 6.4067172134e-03 2.7739472424e-03 3.6327699711e-03
1.7272949219e+01 6.5610787470e-03 2.8214100578e-03 3.7396686892e-03
1.7333984375e+01 6.6683916985e-03 2.8350315898e-03 3.8333601087e-03
1.7395019531e+01 6.6924835884e-03 2.8280913294e-03 3.8643922590e-03
1.7456054688e+01 6.7272552629e-03 2.8438905376e-03 3.8833647253e-03
1.7517089844e+01 6.6768888213e-03 2.8163619323e-03 3.8605268890e-03
1.7578125000e+01 6.4797815491e-03 2.7380871400e-03 3.7416944091e-03
1.7639160156e+01 6.3849108603e-03 2.7075329794e-03 3.6773778809e-03
1.7700195312e+01 6.2975175186e-03 2.6735540799e-03 3.6239634387e-03
1.7761230469e+01 6.2293506174e-03 2.6317597584e-03 3.5975908590e-03
1.7822265625e+01 6.1953812876e-03 2.5991680475e-03 3.5962132401e-03
1.7883300781e+01 6.1964661940e-03 2.5926514912e-03 3.6038147028e-03
1.7944335938e+01 6.1934419362e-03 2.6005623368e-03 3.5928795994e-03
1.8005371094e+01 6.1745643905e-03 2.5861458447e-03 3.5884185458e-03
1.8066406250e+01 6.2200526145e-03 2.6043017129e-03 3.6157509016e-03
1.8127441406e+01 6.2111629537e-03 2.5780457277e-03 3.6331172260e-03
1.8188476562e+01 6.1592995006e-03 2.5375993243e-03 3.6217001762e-03
1.8249511719e+01 6.1004116108e-03 2.5105264379e-03 3.5898851728e-03
1.8310546875e+01 6.0751970659e-03 2.4964946662e-03 3.5787023998e-03
1.8371582031e+01 6.1313292962e-03 2.5004799082e-03 3.6308493880e-03
1.8432617188e+01 6.1745525277e-03 2.4997068822e-03 3.6748456455e-03
1.8493652344e+01 6.2174710066e-03 2.4838923069e-03 3.7335786997e-03
1.8554687500e+01 6.3913528713e-03 2.5152533243e-03 3.8760995470e-03
1.8615722656e+01 6.5996815799e-03 2.5659989792e-03 4.0336826008e-03
1.8676757812e+01 6.8671521857e-03 2.6303163685e-03 4.2368358172e-03
1.8737792969e+01 7.1488870874e-03 2.7085116327e-03 4.4403754547e-03
1.8798828125e+01 7.4484050923e-03 2.7680448641e-03 4.6803602283e-03
1.8859863281e+01 7.7004824778e-03 2.8302328011e-03 4.8702496767e-03
1.8920898438e+01 7.8312364068e-03 2.8543526309e-03 4.9768837759e-03
1.8981933594e+01 7.9801280162e-03 2.8766734572e-03 5.1034545591e-03
1.9042968750e+01 8.1375926896e-03 2.9143716193e-03 5.2232210703e-03
1.9104003906e+01 8.3382279182e-03 2.9473178022e-03 5.3909101161e-03
1.9165039062e+01 8.6405079987e-03 3.0139748264e-03 5.6265331722e-03
1.9226074219e+01 8.9541543706e-03 3.0889537752e-03 5.8652005954e-03
1.9287109375e+01 9.3798864543e-03 3.1726614839e-03 6.2072249703e-03
1.9348144531e+01 9.8291530634e-03 3.2843120575e-03 6.5448410059e-03
1.9409179688e+01 1.0206936734e-02 3.3505726264e-03 6.8563641081e-03
1.9470214844e+01 1.0766680565e-02 3.4798399182e-03 7.2868406465e-03
1.9531250000e+01 1.1231998807e-02 3.5901410123e-03 7.6418577948e-03
1.9592285156e+01 1.1846037587e-02 3.7296380684e-03 8.1163995186e-03
1.9653320312e+01 1.2219822814e-02 3.8115556108e-03 8.4082672032e-03
1.9714355469e+01 1.2371542781e-02 3.8277974446e-03 8.5437453367e-03
1.9775390625e+01 1.2577570707e-02 3.8508801565e-03 8.7266905503e-03
1.9836425781e+01 1.2671744211e-02 3.8463248731e-03 8.8254193382e-03
1.9897460938e+01 1.2697515331e-02 3.8226827957e-03 8.8748325352e-03
1.9958496094e+01 1.2476048363e-02 3.7556408950e-03 8.7204074679e-03
2.0019531250e+01 1.2322189254e-02 3.7130237446e-03 8.6091655091e-03
2.0080566406e+01 1.2120658509e-02 3.6387344944e-03 8.4819240146e-03
2.0141601562e+01 1.1897274498e-02 3.5590788654e-03 8.3381956322e-03
2.0202636719e+01 1.1626919828e-02 3.4767118262e-03 8.1502080022e-03
2.0263671875e+01 1.1263809810e-02 3.3748893993e-03 7.8889204109e-03
2.0324707031e+01 1.0879433407e-02 3.2785002123e-03 7.6009331950e-03
2.0385742188e+01 1.0470349422e-02 3.1699946740e-03 7.3003547483e-03
2.0446777344e+01 1.0033700804e-02 3.0531665588e-03 6.9805342454e-03
2.0507812500e+01 9.5479978242e-03 2.9277079529e-03 6.6202898713e-03
