# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
7.6904296875e+00 1.0442065056e-01 3.3245282493e-02 7.1175368070e-02
7.7514648438e+00 1.1338528689e-01 3.5667775428e-02 7.7717511457e-02
7.8125000000e+00 1.2430467878e-01 3.8812006715e-02 8.5492672065e-02
7.8735351562e+00 1.3792430111e-01 4.2920554376e-02 9.5003746730e-02
7.9345703125e+00 1.5520345143e-01 4.8303663035e-02 1.0689978840e-01
7.9956054688e+00 1.7752563615e-01 5.5440780328e-02 1.2208485582e-01
8.0566406250e+00 2.0718308130e-01 6.5162936485e-02 1.4202014482e-01
8.1176757812e+00 2.4802306156e-01 7.8893831062e-02 1.6912923050e-01
8.1787109375e+00 3.0633714284e-01 9.8987209792e-02 2.0734993305e-01
8.2397460938e+00 3.9205532290e-01 1.2917897268e-01 2.6287635022e-01
8.3007812500e+00 5.1931429476e-01 1.7483666640e-01 3.4447762837e-01
8.3618164062e+00 7.0420730407e-01 2.4219359196e-01 4.6201371211e-01
8.4228515625e+00 9.5718938473e-01 3.3557100861e-01 6.2161837612e-01
8.4838867188e+00 1.2701777424e+00 4.5258629175e-01 8.1759145065e-01
8.5449218750e+00 1.6055982289e+00 5.8001764228e-01 1.0255805866e+00
8.6059570312e+00 1.9001676266e+00 6.9487509537e-01 1.2052925312e+00
8.6669921875e+00 2.0887589564e+00 7.7252033007e-01 1.3162386263e+00
8.7280273438e+00 2.1350784261e+00 7.9744472282e-01 1.3376337033e+00
8.7890625000e+00 2.0466134765e+00 7.6938136405e-01 1.2772321125e+00
8.8500976562e+00 1.8660956200e+00 7.0194098192e-01 1.1641546381e+00
8.9111328125e+00 1.6510190905e+00 6.1652873219e-01 1.0344903583e+00
8.9721679688e+00 1.4529931698e+00 5.3446650375e-01 9.1852666603e-01
9.0332031250e+00 1.3025166797e+00 4.6970798607e-01 8.3280869363e-01
9.0942382812e+00 1.2054794106e+00 4.2607438713e-01 7.7940502351e-01
