# frequency_THz total_states_per_THz_per_atom Ga_contribution S_contribution
2.480000000000002647e+00 3.466889141615895897e-01 2.733752562251972607e-01 7.331365793639223194e-02
2.500000000000002665e+00 3.737051373650404629e-01 2.987108248971956925e-01 7.499431246784521443e-02
2.520000000000002682e+00 4.151226045440560841e-01 3.369797071284282852e-01 7.814289741562788216e-02
2.540000000000002700e+00 4.702132594492954287e-01 3.874717176469697488e-01 8.274154180232570766e-02
2.560000000000002718e+00 5.368784910403643362e-01 4.482157774328322519e-01 8.866271360753269493e-02
2.580000000000002736e+00 6.116394157098276052e-01 5.159745509360844640e-01 9.566486477374328001e-02
2.600000000000002753e+00 6.898112637024853555e-01 5.864124227771587705e-01 1.033988409253266127e-01
2.620000000000002771e+00 7.658822998428044260e-01 6.544545885794333939e-01 1.114277112633713512e-01
2.640000000000002789e+00 8.340740610341511596e-01 7.148135387544030106e-01 1.192605222797484266e-01
2.660000000000002807e+00 8.890115457577821845e-01 7.626140232702620647e-01 1.263975224875202863e-01
2.680000000000002824e+00 9.263948435274410587e-01 7.940133100848827397e-01 1.323815334425582635e-01
2.700000000000002842e+00 9.435512332018273218e-01 8.067029411309590836e-01 1.368482920708688488e-01
2.720000000000002860e+00 9.397651053487776629e-01 8.001967814944963564e-01 1.395683238542813343e-01
2.740000000000002878e+00 9.163277309601522980e-01 7.758535563153183823e-01 1.404741746448339990e-01
2.760000000000002895e+00 8.763064347736682080e-01 7.366373778861743382e-01 1.396690568874936478e-01
2.780000000000002913e+00 8.240860819092850065e-01 6.866706527985440012e-01 1.374154291107410886e-01
2.800000000000002931e+00 7.647711105405037291e-01 6.306668448005242622e-01 1.341042657399796334e-01
2.820000000000002949e+00 7.035478654735876081e-01 5.733400886965418497e-01 1.302077767770455918e-01
2.840000000000002967e+00 6.450977120866417946e-01 5.188773430621991256e-01 1.262203690244427245e-01
2.860000000000002984e+00 5.931298046555661951e-01 4.705349716416366568e-01 1.225948330139298159e-01
2.880000000000003002e+00 5.500772734100080052e-01 4.303945368093514690e-01 1.196827366006567028e-01
2.900000000000003020e+00 5.169772258980370738e-01 3.992882758452911407e-01 1.176889500527460719e-01
2.920000000000003038e+00 4.935341322834163602e-01 3.768849806507759137e-01 1.166491516326403632e-01
2.940000000000003055e+00 4.783463233432854733e-01 3.619107346322792962e-01 1.164355887110062465e-01
2.960000000000003073e+00 4.692557402540012412e-01 3.524649815822907817e-01 1.167907586717104318e-01
2.980000000000003091e+00 4.637638606639838401e-01 3.463814189763372298e-01 1.173824416876467491e-01
3.000000000000003109e+00 4.594464970397351689e-01 3.415779388622887103e-01 1.178685581774464586e-01
3.020000000000003126e+00 4.543016058161722937e-01 3.363433450545151304e-01 1.179582607616573853e-01
3.040000000000003144e+00 4.469792314616312101e-01 3.295220407484785730e-01 1.174571907131526927e-01
