# frequency_THz total_states_per_THz_per_atom Ga_contribution Se_contribution
1.220000000000001528e+00 2.084532261870807313e-01 8.941965937491463956e-02 1.190335668121661888e-01
1.240000000000001545e+00 2.167649317948872612e-01 9.260119352898787959e-02 1.241637382658993954e-01
1.260000000000001563e+00 2.247169704171087523e-01 9.564458029584993470e-02 1.290723901212589841e-01
1.280000000000001581e+00 2.321986238332587049e-01 9.850679431231292027e-02 1.336918295209458263e-01
1.300000000000001599e+00 2.391557925236661442e-01 1.011659377818585892e-01 1.379898547418077215e-01
1.320000000000001616e+00 2.455918469038053942e-01 1.036218444163564123e-01 1.419700024874491207e-01
1.340000000000001634e+00 2.515613686029969376e-01 1.058938086983884919e-01 1.456675599046084457e-01
1.360000000000001652e+00 2.571595956314043918e-01 1.080164013764889352e-01 1.491431942549154843e-01
1.380000000000001670e+00 2.625110529271499349e-01 1.100346343420659512e-01 1.524764185850840947e-01
1.400000000000001688e+00 2.677606322472423916e-01 1.119997081251050269e-01 1.557609241221373231e-01
1.420000000000001705e+00 2.730695217017866661e-01 1.139663072018462231e-01 1.591032144999405817e-01
1.440000000000001723e+00 2.786171227394028671e-01 1.159920023993863125e-01 1.626251203400166656e-01
1.460000000000001741e+00 2.846085443527723302e-01 1.181388171918310304e-01 1.664697271609412166e-01
1.480000000000001759e+00 2.912854620802304839e-01 1.204764114959835097e-01 1.708090505842468354e-01
1.500000000000001776e+00 2.989362378600075032e-01 1.230856677192096738e-01 1.758505701407977184e-01
1.520000000000001794e+00 3.078997176513956768e-01 1.260608900990294878e-01 1.818388275523661335e-01
1.540000000000001812e+00 3.185568736474024831e-01 1.295086381915691032e-01 1.890482354558335465e-01
1.560000000000001830e+00 3.313062250315726431e-01 1.335417010222397227e-01 1.977645240093328649e-01
1.580000000000001847e+00 3.465229754915503668e-01 1.382679753458246896e-01 2.082550001457257327e-01
1.600000000000001865e+00 3.645072760797250511e-01 1.437757824040994947e-01 2.207314936756254453e-01
1.620000000000001883e+00 3.854322163177749117e-01 1.501188448378655282e-01 2.353133714799094944e-01
1.640000000000001901e+00 4.093049302793490551e-01 1.573050285870450371e-01 2.519999016923040180e-01
1.660000000000001918e+00 4.359529793801637521e-01 1.652925239726564244e-01 2.706604554075070501e-01
1.680000000000001936e+00 4.650426997155199249e-01 1.739953703133936269e-01 2.910473294021264090e-01
1.700000000000001954e+00 4.961278643505392938e-01 1.832976340891730449e-01 3.128302302613661379e-01
1.720000000000001972e+00 5.287183591735034049e-01 1.930729841004897307e-01 3.356453750730136187e-01
1.740000000000001990e+00 5.623523436409159082e-01 2.032047035900612642e-01 3.591476400508548106e-01
1.760000000000002007e+00 5.966534883742019568e-01 2.136008387542770448e-01 3.830526496199244679e-01
1.780000000000002025e+00 6.313578841672388142e-01 2.242002410035317250e-01 4.071576431637072835e-01
1.800000000000002043e+00 6.663022838626230238e-01 2.349673768217097058e-01 4.313349070409129293e-01
1.820000000000002061e+00 7.013747753760817272e-01 2.458764431127063999e-01 4.554983322633752163e-01
1.840000000000002078e+00 7.364387625128081538e-01 2.568880232939624308e-01 4.795507392188458340e-01
1.860000000000002096e+00 7.712492093738870791e-01 2.679237730343276835e-01 5.033254363395598396e-01
1.880000000000002114e+00 8.053845271127362260e-01 2.788459407604523266e-01 5.265385863522840104e-01
1.900000000000002132e+00 8.382165111361749021e-01 2.894483797565429173e-01 5.487681313796324289e-01
1.920000000000002149e+00 8.689333274797020890e-01 2.994636803697393601e-01 5.694696471099628399e-01
1.940000000000002167e+00 8.966171749393082591e-01 3.085871498040217986e-01 5.880300251352863494e-01
1.960000000000002185e+00 9.203616753246076643e-01 3.165133371391827266e-01 6.038483381854247156e-01
1.980000000000002203e+00 9.393993064640574486e-01 3.229761768051438442e-01 6.164231296589133269e-01
2.000000000000002220e+00 9.532022893767637672e-01 3.277815255496794311e-01 6.254207638270843361e-01
2.020000000000002238e+00 9.615257316126998299e-01 3.308223823419665921e-01 6.307033492707336819e-01
2.040000000000002256e+00 9.643797629639304647e-01 3.320725627518608114e-01 6.323072002120697643e-01
2.060000000000002274e+00 9.619426018016692392e-01 3.315624153845343480e-01 6.303801864171352243e-01
2.080000000000002292e+00 9.544493989232119002e-01 3.293472811625401953e-01 6.251021177606711499e-01
2.100000000000002309e+00 9.421022609092457589e-01 3.254825951163868303e-01 6.166196657928588731e-01
2.120000000000002327e+00 9.250392931391299145e-01 3.200169910263634399e-01 6.050223021127667522e-01
2.140000000000002345e+00 9.033767070922833486e-01 3.130071422786658286e-01 5.903695648136177976e-01
2.160000000000002363e+00 8.773074028709243466e-01 3.045484241063742825e-01 5.727589787645506192e-01
2.180000000000002380e+00 8.472149254321068579e-01 2.948079904887344060e-01 5.524069349433726739e-01
2.200000000000002398e+00 8.137538475591454823e-01 2.840448570408896645e-01 5.297089905182561509e-01
2.220000000000002416e+00 7.778596166895388464e-01 2.726059580336092081e-01 5.052536586559297493e-01
2.240000000000002434e+00 7.406771362042653406e-01 2.608959470750535914e-01 4.797811891292118602e-01
2.260000000000002451e+00 7.034264273635925102e-01 2.493279440560595694e-01 4.540984833075329408e-01
2.280000000000002469e+00 6.672439479268212903e-01 2.382687063145220163e-01 4.289752416122997181e-01
2.300000000000002487e+00 6.330427746331065419e-01 2.279927263948982874e-01 4.050500482382086709e-01
2.320000000000002505e+00 6.014243919245645387e-01 2.186558432654018558e-01 3.827685486591629327e-01
2.340000000000002522e+00 5.726556637731983201e-01 2.102923050968784624e-01 3.623633586763200243e-01
2.360000000000002540e+00 5.467051586234561444e-01 2.028326502943613163e-01 3.438725083290948836e-01
2.380000000000002558e+00 5.233198778791023908e-01 1.961353912354470985e-01 3.271844866436552368e-01
2.400000000000002576e+00 5.021190093528332676e-01 1.900240280987948172e-01 3.120949812540384505e-01
2.420000000000002593e+00 4.826841103861480020e-01 1.843218753532629983e-01 2.983622350328852257e-01
2.440000000000002611e+00 4.646316787469737530e-01 1.788794372073809202e-01 2.857522415395925552e-01
2.460000000000002629e+00 4.476611421977219063e-01 1.735915922207280915e-01 2.740695499769935650e-01
2.480000000000002647e+00 4.315770662985105588e-01 1.684040590674517057e-01 2.631730072310587421e-01
2.500000000000002665e+00 4.162884556537476133e-01 1.633103458743902781e-01 2.529781097793574185e-01
2.520000000000002682e+00 4.017907083314895544e-01 1.583416353244180286e-01 2.434490730070714148e-01
2.540000000000002700e+00 3.881373278497837198e-01 1.535527944539041290e-01 2.345845333958793411e-01
2.560000000000002718e+00 3.754088518533836849e-01 1.490078307155022208e-01 2.264010211378815196e-01
2.580000000000002736e+00 3.636855025490697280e-01 1.447676100334833738e-01 2.189178925155864097e-01
2.600000000000002753e+00 3.530279740926915988e-01 1.408816471921122693e-01 2.121463269005796626e-01
2.620000000000002771e+00 3.434681364557867767e-01 1.373845863343106655e-01 2.060835501214760557e-01
2.640000000000002789e+00 3.350090423788676386e-01 1.342969670832156459e-01 2.007120752956523257e-01
2.660000000000002807e+00 3.276320728220610268e-01 1.316292535494377192e-01 1.960028192726233631e-01
2.680000000000002824e+00 3.213084810536678271e-01 1.293879018730258734e-01 1.919205791806419814e-01
2.700000000000002842e+00 3.160126776129988935e-01 1.275822788832748633e-01 1.884303987297240301e-01
2.720000000000002860e+00 3.117348310583099025e-01 1.262312804952212542e-01 1.855035505630887871e-01
2.740000000000002878e+00 3.084903799645525857e-01 1.253683797259971533e-01 1.831220002385552936e-01
2.760000000000002895e+00 3.063238516494669605e-01 1.250435821081685439e-01 1.812802695412982779e-01
2.780000000000002913e+00 3.053043133864311032e-01 1.253205808960244361e-01 1.799837324904068336e-01
2.800000000000002931e+00 3.055103860864373799e-01 1.262675951540360164e-01 1.792427909324013635e-01
2.820000000000002949e+00 3.070045106271466206e-01 1.279412427479049430e-01 1.790632678792415389e-01
2.840000000000002967e+00 3.097992182014282503e-01 1.303644966120862669e-01 1.794347215893419278e-01
2.860000000000002984e+00 3.138220812695475814e-01 1.335021381895049319e-01 1.803199430800427328e-01
2.880000000000003002e+00 3.188896631256167291e-01 1.372395813660970687e-01 1.816500817595196882e-01
2.900000000000003020e+00 3.247024160339443966e-01 1.413725310108670530e-01 1.833298850230773436e-01
2.920000000000003038e+00 3.308703260179568506e-01 1.456145710454274100e-01 1.852557549725294128e-01
2.940000000000003055e+00 3.369722396344135840e-01 1.496267119555458880e-01 1.873455276788674739e-01
2.960000000000003073e+00 3.426410989975615107e-01 1.530673331809187243e-01 1.895737658166427031e-01
2.980000000000003091e+00 3.476558440631251079e-01 1.556542105694323497e-01 1.920016334936927305e-01
3.000000000000003109e+00 3.520132158547262802e-01 1.572247958999386519e-01 1.947884199547877948e-01
3.020000000000003126e+00 3.559536553325659547e-01 1.577791519910503315e-01 1.981745033415156232e-01
3.040000000000003144e+00 3.599269707455370337e-01 1.574934639991090179e-01 2.024335067464280158e-01
3.060000000000003162e+00 3.645031471760520891e-01 1.567003641150264137e-01 2.078027830610256199e-01
3.080000000000003180e+00 3.702548942276689403e-01 1.558427339724197114e-01 2.144121602552491457e-01
3.100000000000003197e+00 3.776523304145864568e-01 1.554161407882169721e-01 2.222361896263695402e-01
3.120000000000003215e+00 3.870091986563946040e-01 1.559178770413010839e-01 2.310913216150936034e-01
3.140000000000003233e+00 3.985021328825040232e-01 1.578160212923378214e-01 2.406861115901661741e-01
3.160000000000003251e+00 4.122548319205271983e-01 1.615413760547999567e-01 2.507134558657274082e-01
3.180000000000003268e+00 4.284484671801946920e-01 1.674926557834412466e-01 2.609558113967533899e-01
3.200000000000003286e+00 4.474008959382186901e-01 1.760361652940286847e-01 2.713647306441900331e-01
3.220000000000003304e+00 4.695594043566032605e-01 1.874797482719338104e-01 2.820796560846694501e-01
3.240000000000003322e+00 4.953763826520660163e-01 2.020085669382479521e-01 2.933678157138180920e-01
3.260000000000003340e+00 5.250776261733702821e-01 2.195853749682069589e-01 3.054922512051632122e-01
3.280000000000003357e+00 5.583757585961920400e-01 2.398355195349500535e-01 3.185402390612421808e-01
3.300000000000003375e+00 5.942119184925742648e-01 2.619507831399751074e-01 3.322611353525988798e-01
3.320000000000003393e+00 6.306161185098448918e-01 2.846508862942848106e-01 3.459652322155605808e-01
3.340000000000003411e+00 6.647564431473129698e-01 3.062340740638939129e-01 3.585223690834186683e-01
3.360000000000003428e+00 6.932037040308126619e-01 3.247293763444289993e-01 3.684743276863836625e-01
3.380000000000003446e+00 7.123826455472866970e-01 3.381372391102234198e-01 3.742454064370632216e-01
3.400000000000003464e+00 7.191285690284439092e-01 3.447193432904468446e-01 3.744092257379976196e-01
3.420000000000003482e+00 7.112343146563998575e-01 3.432803865771515972e-01 3.679539280792483158e-01
3.440000000000003499e+00 6.878673057801404367e-01 3.333805592731379219e-01 3.544867465070030699e-01
3.460000000000003517e+00 6.497623609942791978e-01 3.154297060267425290e-01 3.343326549675365578e-01
3.480000000000003535e+00 5.991467483874706179e-01 2.906400805674758114e-01 3.085066678199954726e-01
3.500000000000003553e+00 5.394156309891707801e-01 2.608471088087221390e-01 2.785685221804489187e-01
3.520000000000003126e+00 4.746315245761512092e-01 2.282373941822775087e-01 2.463941303938742555e-01
3.540000000000003588e+00 4.089557312104503684e-01 1.950419302937271282e-01 2.139138009167235177e-01
3.560000000000004050e+00 3.461249265339727543e-01 1.632554460479235248e-01 1.828694804860491741e-01
3.580000000000003624e+00 2.890633493895484185e-01 1.344304451448869453e-01 1.546329042446617508e-01
3.600000000000003197e+00 2.396796595156238385e-01 1.095718724657494814e-01 1.301077870498744127e-01
3.620000000000003659e+00 1.988510683547026758e-01 8.913296656793125161e-02 1.097181017867715214e-01
3.640000000000004121e+00 1.665587835805737160e-01 7.309194553368317249e-02 9.346683804689068231e-02
3.660000000000003695e+00 1.421165268305293050e-01 6.107734060249217500e-02 8.103918622803708838e-02
3.680000000000003268e+00 1.244299462830748548e-01 5.250809213611655479e-02 7.192185414695820289e-02
3.700000000000003730e+00 1.122356207871630235e-01 4.672088889424468733e-02 6.551473189291838473e-02
3.720000000000004192e+00 1.042873459808529163e-01 4.306787569386322234e-02 6.121947028698972865e-02
3.740000000000003766e+00 9.947749689821268337e-02 4.097888232887907101e-02 5.849861456933376502e-02
3.760000000000003340e+00 9.689731364288850513e-02 3.999093795761142489e-02 5.690637568527708717e-02
3.780000000000003801e+00 9.584956055085223914e-02 3.975280376161585000e-02 5.609675678923625036e-02
3.800000000000004263e+00 9.583028523912578978e-02 4.001375012082426796e-02 5.581653511830160508e-02
3.820000000000003837e+00 9.649504403502495720e-02 4.060482793555425518e-02 5.589021609947072283e-02
3.840000000000003411e+00 9.762115063693553585e-02 4.141867062872554156e-02 5.620248000820995959e-02
3.860000000000003872e+00 9.907312277476874873e-02 4.239143823880259232e-02 5.668168453596614254e-02
3.880000000000004334e+00 1.007747410182682768e-01 4.348850291394044942e-02 5.728623810432787594e-02
3.900000000000003908e+00 1.026884988813116240e-01 4.469411532586375913e-02 5.799438355544786483e-02
3.920000000000003482e+00 1.048017254690000039e-01 4.600455816498490169e-02 5.879716730401497726e-02
3.940000000000003944e+00 1.071180588352813462e-01 4.742403215769135094e-02 5.969402667758995362e-02
3.960000000000004405e+00 1.096529273769572266e-01 4.896255192177675908e-02 6.069037545518055077e-02
3.980000000000003979e+00 1.124319763167756364e-01 5.063530051369252022e-02 6.179667580308308844e-02
4.000000000000003553e+00 1.154917413360248835e-01 5.246309254079781215e-02 6.302864879522718233e-02
4.020000000000004015e+00 1.188821704215899389e-01 5.447375340303975411e-02 6.440841701855021251e-02
4.040000000000004476e+00 1.226707229445020142e-01 5.670428823406729879e-02 6.596643471043460438e-02
4.060000000000004050e+00 1.269476560920865804e-01 5.920365352128022923e-02 6.774400257080633037e-02
4.080000000000003624e+00 1.318316947295842811e-01 6.203573413127312641e-02 6.979596059831127963e-02
4.100000000000004086e+00 1.374745757225264708e-01 6.528177031681184350e-02 7.219280540571465510e-02
4.120000000000004547e+00 1.440620695018892949e-01 6.904102631613565078e-02 7.502104318575358866e-02
4.140000000000004121e+00 1.518082763179653127e-01 7.342807685569030518e-02 7.838019946227507695e-02
4.160000000000003695e+00 1.609397092522925066e-01 7.856492893218230966e-02 8.237478032011014140e-02
4.180000000000004157e+00 1.716664370266163808e-01 8.456655826666303888e-02 8.709987875995328643e-02
4.200000000000004619e+00 1.841397808199734254e-01 9.151953278453983653e-02 9.262024803543345008e-02
4.220000000000004192e+00 1.983997563632517724e-01 9.945523214935957090e-02 9.894452421389229868e-02
4.240000000000003766e+00 2.143199902011838631e-01 1.083214414669870646e-01 1.059985487341966459e-01
4.260000000000004228e+00 2.315618804525801655e-01 1.179581370381521110e-01 1.136037434144281655e-01
4.280000000000004690e+00 2.495515734461950796e-01 1.280842256390883338e-01 1.214673478071066626e-01
4.300000000000004263e+00 2.674913809348691274e-01 1.383010950305873232e-01 1.291902859042816654e-01
4.320000000000003837e+00 2.844110904064145462e-01 1.481158419959926198e-01 1.362952484104218709e-01
4.340000000000004299e+00 2.992553397625047351e-01 1.569825175601122225e-01 1.422728222023925959e-01
4.360000000000004761e+00 3.109934994216599913e-01 1.643549864112551495e-01 1.466385130104048695e-01
4.380000000000004334e+00 3.187317152895396966e-01 1.697417111970923320e-01 1.489900040924471147e-01
4.400000000000003908e+00 3.218056603246310932e-01 1.727522824687114655e-01 1.490533778559196831e-01
4.420000000000004370e+00 3.198379116325296700e-01 1.731281727554975780e-01 1.467097388770318145e-01
4.440000000000004832e+00 3.127539721256877847e-01 1.707550797975039003e-01 1.419988923281838566e-01
4.460000000000004405e+00 3.007620735892611585e-01 1.656594496435627728e-01 1.351026239456984968e-01
4.480000000000003979e+00 2.843098787601044952e-01 1.579952723465202213e-01 1.263146064135844682e-01
4.500000000000004441e+00 2.640332852183712165e-01 1.480277237562703796e-01 1.160055614621010867e-01
4.520000000000004903e+00 2.407085842253352814e-01 1.361177675942374099e-01 1.045908166310979409e-01
4.540000000000004476e+00 2.152117206171428598e-01 1.227078567155847622e-01 9.250386390155815319e-02
4.560000000000004050e+00 1.884811939153226146e-01 1.083054629996924312e-01 8.017573091563040544e-02
4.580000000000004512e+00 1.614776284181387578e-01 9.346006124250050284e-02 6.801756717563815779e-02
4.600000000000004974e+00 1.351346084535010594e-01 7.873097352873123511e-02 5.640363492476979657e-02
4.620000000000004547e+00 1.103009044661214105e-01 6.464732846978459013e-02 4.565357599633682040e-02
4.640000000000004121e+00 8.768078994854400232e-02 5.166552286846101683e-02 3.601526708008299937e-02
4.660000000000004583e+00 6.778354430040528511e-02 4.013211045278675809e-02 2.765143384761857906e-02
4.680000000000005045e+00 5.089341108509898293e-02 3.025985398220409905e-02 2.063355710289490122e-02
4.700000000000004619e+00 3.706717054730174904e-02 2.212182746887685764e-02 1.494534307842487753e-02
4.720000000000004192e+00 2.615981773544526906e-02 1.566407048907355465e-02 1.049574724637170053e-02
4.740000000000004654e+00 1.787218763622322806e-02 1.073298738637246466e-02 7.139200249850763402e-03
4.760000000000005116e+00 1.180999116100283318e-02 7.110842902071307439e-03 4.699148258931530077e-03
4.780000000000004690e+00 7.542721082622380786e-03 4.552004795095989167e-03 2.990716287526389017e-03
4.800000000000004263e+00 4.652996001080244790e-03 2.813855247867657044e-03 1.839140753212586011e-03
4.820000000000004725e+00 2.770893162007264775e-03 1.678761799659760686e-03 1.092131362347505390e-03
4.840000000000005187e+00 1.592126839809400755e-03 9.661966876975422534e-04 6.259301521118572006e-04
4.860000000000004761e+00 8.823121158315316544e-04 5.362382787618693528e-04 3.460738370696633316e-04
4.880000000000004334e+00 4.714038557334410975e-04 2.868895082831945833e-04 1.845143474502465412e-04
4.900000000000004796e+00 2.427449603308461546e-04 1.479121392800565528e-04 9.483282105078992704e-05
